CELEX,DirectiveName_short,AmendedName_short,Date of document,Date of effect,Amending,Country Code,Country,MeasureTitle_short,Transposition Deadline,Publication Date,Subject matter,Compliance_days,Compliance_weeks,Compliance_months,Infringement_Procedure,Infringement_Name,Publication Year,Media salience (MC),Climate articles (MC),Total articles (MC),year,Climate salience (GT),Economy salience (GT),Relative Climate salience (RCM),Country Code.1,Country.1,Cabinet,Start Date,Coalition Size,Technical Cabinet,Total Seats,Total Vote Share,Left-Right,State-Market,Liberty-Authority,EU Anti-Pro,Environment Protection,Nuclear Energy,Climate Energy,Renewables,Sustainable Development,Welfare State,International Peace
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Aktionsplan 2022–2024 zur Klima-,2021-06-30,2022-08-01,"Energy, Environment",397.0,56.714285714285715,13.233333333333333,False,,2022.0,2400.72602739726,876265.0,157700452.0,2022.0,14.833333333333334,29.75,0.4985994397759103,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz vom 26. März 1969 ü,2021-06-30,2023-06-21,"Energy, Environment",721.0,103.0,24.033333333333335,False,,2023.0,2365.213698630137,863303.0,154649180.0,2023.0,8.0,31.083333333333332,0.257372654155496,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Förderung ,2021-06-30,2023-12-31,"Energy, Environment",914.0,130.57142857142858,30.466666666666665,False,,2023.0,2365.213698630137,863303.0,154649180.0,2023.0,8.0,31.083333333333332,0.257372654155496,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Kammern de,2021-06-30,2021-12-31,"Energy, Environment",184.0,26.285714285714285,6.133333333333334,False,,2021.0,2697.4821917808217,984581.0,164417440.0,2021.0,7.416666666666667,25.083333333333332,0.2956810631229236,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Kammern fü,2021-06-30,2022-07-19,"Energy, Environment",384.0,54.857142857142854,12.8,False,,2022.0,2400.72602739726,876265.0,157700452.0,2022.0,14.833333333333334,29.75,0.4985994397759103,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die Regulierun,2021-06-30,2022-02-14,"Energy, Environment",229.0,32.714285714285715,7.633333333333334,False,,2022.0,2400.72602739726,876265.0,157700452.0,2022.0,14.833333333333334,29.75,0.4985994397759103,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Bundesgesetz über die höhere ber,2021-06-30,2024-02-28,"Energy, Environment",973.0,139.0,32.43333333333333,False,,2024.0,1865.9234972677596,682928.0,147243021.0,2024.0,9.0,31.333333333333332,0.2872340425531915,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,Dienstleistungsförderungsrichtli,2021-06-30,2022-04-01,"Energy, Environment",275.0,39.285714285714285,9.166666666666666,False,,2022.0,2400.72602739726,876265.0,157700452.0,2022.0,14.833333333333334,29.75,0.4985994397759103,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,EAG-Investitionszuschüsseverordn,2021-06-30,2024-06-17,"Energy, Environment",1083.0,154.71428571428572,36.1,False,,2024.0,1865.9234972677596,682928.0,147243021.0,2024.0,9.0,31.333333333333332,0.2872340425531915,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
32018L2001,Directive (EU) 2018/2001,,2018-11-12,2018-12-24,False,AUT,Austria,EAG-Investitionszuschüsseverordn,2021-06-30,2024-03-14,"Energy, Environment",988.0,141.14285714285714,32.93333333333333,False,,2024.0,1865.9234972677596,682928.0,147243021.0,2024.0,9.0,31.333333333333332,0.2872340425531915,AUT,Austria,Nehammer,2021-12-06,2.0,False,97.0,51.4,5.3880994163424125,5.812810505836576,5.946121011673152,8.260813229571985,5.327268482490273,0.7225019455252919,5.6321225680933855,5.584527237354085,3.183044747081712,13.69057587548638,0.2850311284046692
